bill_id,subscriber_id,bill_date,amount_due,amount_paid,payment_date,payment_method,bill_status
BILL001,SUB001,2024-01-31,85.00,85.00,2024-02-05,CreditCard,PAID
BILL002,SUB002,2024-01-31,45.00,0.00,,None,UNPAID
BILL003,SUB003,2024-01-31,150.00,150.00,2024-02-03,BankTransfer,PAID
BILL004,SUB004,2024-01-31,85.00,85.00,2024-02-07,CreditCard,PAID
BILL005,SUB005,2024-01-31,45.00,20.00,2024-02-10,Cash,PARTIAL
BILL006,SUB006,2024-01-31,150.00,150.00,2024-02-04,BankTransfer,PAID
BILL007,SUB007,2024-01-31,85.00,85.00,2024-02-06,CreditCard,PAID
BILL008,SUB008,2024-01-31,45.00,0.00,,None,UNPAID
BILL009,SUB009,2024-01-31,150.00,150.00,2024-02-02,BankTransfer,PAID
BILL010,SUB010,2024-01-31,85.00,85.00,2024-02-08,CreditCard,PAID
BILL011,SUB001,2024-02-29,85.00,85.00,2024-03-04,CreditCard,PAID
BILL012,SUB003,2024-02-29,150.00,150.00,2024-03-02,BankTransfer,PAID
BILL013,SUB004,2024-02-29,85.00,50.00,2024-03-10,Cash,PARTIAL
BILL014,SUB006,2024-02-29,150.00,150.00,2024-03-03,BankTransfer,PAID
BILL015,SUB007,2024-02-29,85.00,85.00,2024-03-05,CreditCard,PAID
