cdr_id,caller_id,receiver_id,call_date,call_duration_sec,call_type,network_type,region,charge_amount
CDR001,SUB001,SUB003,2024-01-15,320,Voice,4G,North,0.96
CDR002,SUB002,SUB004,2024-01-15,45,Voice,3G,South,0.14
CDR003,SUB003,SUB001,2024-01-16,600,Video,4G,East,2.40
CDR004,SUB004,SUB007,2024-01-16,180,Voice,4G,West,0.54
CDR005,SUB005,SUB002,2024-01-17,90,SMS,3G,Central,0.10
CDR006,SUB006,SUB009,2024-01-17,450,Voice,5G,North,1.13
CDR007,SUB007,SUB001,2024-01-18,720,Video,5G,South,2.88
CDR008,SUB008,SUB010,2024-01-18,60,Voice,3G,East,0.18
CDR009,SUB009,SUB006,2024-01-19,300,Voice,4G,West,0.90
CDR010,SUB010,SUB003,2024-01-19,540,Video,4G,Central,2.16
CDR011,SUB001,SUB009,2024-01-20,200,Voice,5G,North,0.60
CDR012,SUB003,SUB007,2024-01-20,480,Video,4G,East,1.92
CDR013,SUB004,SUB006,2024-01-21,150,Voice,4G,West,0.45
CDR014,SUB006,SUB001,2024-01-21,360,Voice,5G,North,1.08
CDR015,SUB009,SUB004,2024-01-22,270,Voice,4G,West,0.81
