record_id,region,tower_id,record_date,signal_strength,downtime_minutes,data_usage_gb,network_type
NET001,North,TWR001,2024-01-15,95.5,0,1250.75,4G
NET002,South,TWR002,2024-01-15,88.2,5,980.30,3G
NET003,East,TWR003,2024-01-15,97.1,0,1540.20,5G
NET004,West,TWR004,2024-01-15,91.8,2,1100.45,4G
NET005,Central,TWR005,2024-01-15,85.4,10,870.60,3G
NET006,North,TWR001,2024-01-16,94.8,0,1320.10,4G
NET007,South,TWR002,2024-01-16,89.5,3,1010.80,3G
NET008,East,TWR003,2024-01-16,98.2,0,1620.40,5G
NET009,West,TWR004,2024-01-16,90.3,4,1050.90,4G
NET010,Central,TWR005,2024-01-16,87.6,8,920.15,3G
NET011,North,TWR006,2024-01-17,96.1,0,1410.55,5G
NET012,South,TWR007,2024-01-17,92.4,1,1080.25,4G
NET013,East,TWR008,2024-01-17,97.8,0,1580.70,5G
NET014,West,TWR009,2024-01-17,88.9,6,950.40,3G
NET015,Central,TWR010,2024-01-17,93.2,2,1150.85,4G
